"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","运维管理平台","应急处置","0","4","24","0","0"
"","运维管理平台","设备管理","2","0","45","0","0"
"","运维管理平台","萤石云接口","0","2","5","0","0"
"","DID340显示屏测试","运行累计数据上报","0","0","1","0","0"
"","运维管理平台","客户管理","1","0","24","0","0"
"","JTC340梯联测试","电梯事件上报-告警事件","0","0","1","0","0"
"","运维管理平台","首页","8","0","16","0","0"
"","运维管理平台","基础资料","3","0","11","0","0"
"","运维管理平台","日志管理","0","2","15","0","0"
"","DID340显示屏测试","通话申请","0","0","1","0","0"
"","JTC340梯联测试","电梯事件上报-电梯故障解除","0","0","1","0","0"
"","JTC340梯联测试","电梯事件上报-告警事件解除","0","0","1","0","0"
"","DID340显示屏测试","实时数据上报","0","0","1","0","0"
"","JTC340梯联测试","电梯事件上报-困人事件","0","0","1","0","0"
"","DID340显示屏测试","设置属性","0","0","1","0","0"
"","JTC340梯联测试","电梯事件上报-困人事件解除","0","0","1","0","0"
"","DID340显示屏测试","上报属性","0","0","1","0","0"
"","JTC340梯联测试","电梯事件上报-电梯故障","0","0","1","0","0"
"","DID340显示屏测试","获取属性","0","0","1","0","0"
"","DID340显示屏测试","气象信息","0","0","1","0","0"
